A-3,J57-P-10,Intermediate (88% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
(ft),A-G,G-G,A-G,G-G,A-G,G-G,A-G,G-G
200,111.9,111.9,116.6,116.6,107.9,107.9,122.1,122.1
250,110.3,110.3,114.9,114.9,105.7,105.7,119.8,119.8
315,108.7,108.1,113.2,112.4,103.4,102.8,117.5,116.8
400,107,105.9,111.3,109.9,101.2,100.1,115.1,113.6
500,105.3,103.5,109.5,107.4,98.8,97.1,112.6,110.5
630,103.5,101,107.4,104.7,96.5,94,110,107.2
800,101.7,98.5,105.3,101.9,94,90.8,107.2,103.9
1000,99.7,95.9,103,99,91.5,87.6,104.3,100.3
1250,97.7,93.3,100.6,95.9,88.9,84.4,101.4,96.6
1600,95.6,91,98.2,93.3,86.2,81.6,98.3,93.4
2000,93.4,88.7,95.6,90.6,83.3,78.6,95.1,90.1
2500,91.1,86.4,92.8,87.9,80.4,75.7,91.7,86.8
3150,88.6,84.1,89.8,85.1,77.4,72.9,88.1,83.4
4000,86,81.9,86.4,82.1,74.2,70.1,84.2,79.9
5000,83.3,79.4,83.3,78.9,70.9,66.9,80.5,76.2
6300,80.5,76.6,80,75.3,67.4,63.6,76.7,72
8000,77.5,73.4,76.7,71.1,63.8,59.8,72.8,67.2
10000,74.3,69.8,73.2,66.3,60.1,55.6,68.8,61.9
12500,71,65.2,69.5,61.7,56.1,50.3,64.5,56.7
16000,67.4,60,65.6,56.1,52,44.6,60,50.5
20000,63.7,54.5,61.7,49.7,47.6,38.5,55.6,43.5
25000,59.8,48.8,57.6,42,43.1,32.1,50.9,35.3
