A-5C,J79-GE-8C,Takeoff (83% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,123.7,123.7,126.8,127,119.3,119.3,132.2,132.4
250,122.2,122.2,125.1,125.4,117.2,117.2,130,130.2
315,120.7,118.9,123.5,122.8,115,113.3,127.8,127
400,119.1,115.9,121.9,119.9,112.9,109.7,125.5,123.6
500,117.5,113.4,120.2,117.3,110.7,106.6,123.2,120.4
630,115.8,110.8,118.5,114.6,108.4,103.4,120.9,117
800,114.1,108.4,116.7,111.7,106.1,100.3,118.5,113.5
1000,112.4,105.9,114.8,108.7,103.8,97.3,116,110
1250,110.6,103.6,112.9,105.7,101.4,94.4,113.5,106.3
1600,108.7,101.4,110.9,103,98.9,91.6,110.9,103
2000,106.8,99.2,108.8,100.3,96.4,88.8,108.2,99.7
2500,104.8,97,106.7,97.5,93.8,86,105.5,96.4
3150,102.7,94.8,104.4,94.8,91,83.2,102.7,93
4000,100.4,92.5,101.9,91.7,88.2,80.3,99.7,89.5
5000,98.1,90,99.3,88.6,85.3,77.1,96.6,85.8
6300,95.6,87.2,96.6,85.4,82.2,73.8,93.4,82.1
8000,93,84.1,93.8,81.9,79,70.1,90,78.2
10000,90.3,80.7,90.9,78.5,75.7,66.1,86.6,74.2
12500,87.4,76.4,87.9,74.5,72.1,61.2,83,69.6
16000,84.2,71.7,84.7,69.8,68.4,55.9,79.2,64.3
20000,80.8,66.7,81,64.6,64.4,50.3,74.9,58.5
25000,77.2,61.5,76.8,59,60.2,44.5,70.2,52.3
