code,aircraft,engine,units,flight,static
M60701,CH-47C,T55-L-11,% RPM,TRUE,FALSE
M62201,CH-53E,T64-GE-416A,%Q-BPA,TRUE,TRUE
M61301,CH-54,JTFD 12,POWER,FALSE,TRUE
M60601,CH-54B,JFTD-12A-5A,% RPM,TRUE,FALSE
M61901,CH47B,T55,KNOTS,TRUE,TRUE
M62001,CH47D,T55-L-712,KNOTS,TRUE,TRUE
M65901,CHINOOK,(CH-47D),KNOTS,TRUE,FALSE
C09501,CIT3*,TFE731-3-100S,LBS,TRUE,FALSE
C10301,CITATIONX*,RR,LBS,TRUE,FALSE
C05801,CL-600,TF,LBS,TRUE,FALSE
C06101,CL-601,TF,LBS,TRUE,FALSE
C05301,COMPOS,BUS,% RPM,TRUE,FALSE
C07701,COMPOS,1985,% RPM,TRUE,FALSE
C01801,CONCORDE,OLYMPUS,LBS,TRUE,FALSE
C06601,CONVAIR-580,ALLISON,% RPM,TRUE,FALSE
M65201,DAUPHIN,SA365N,KNOTS,TRUE,FALSE
C01901,DC-10-10,TF,LBS,TRUE,FALSE
C02001,DC-10-30,TF,LBS,TRUE,FALSE
C02101,DC-10-40,TF,LBS,TRUE,FALSE
C07101,DC-3,R2800,% RPM,TRUE,FALSE
C07001,DC-6,R2800,% RPM,TRUE,FALSE
C00601,DC-8-20,(Q),LBS,TRUE,FALSE
C01201,DC-8-50,(N),LBS,TRUE,FALSE
C01301,DC-8-60,(N),LBS,TRUE,FALSE
C01701,DC-8-60,(QN),LBS,TRUE,FALSE
C01401,DC-8-70,(N),LBS,TRUE,FALSE
C04101,DC-9-10D7,(N),LBS,TRUE,FALSE
C04401,DC-9-10QN7,(Q),LBS,TRUE,FALSE
C04001,DC-9-30D9,(N),LBS,TRUE,FALSE
C04301,DC-9-30QN9,(Q),LBS,TRUE,FALSE
C04601,DC-9-50D17,(Q),LBS,TRUE,FALSE
C06901,DHC-6,TP,% RPM,TRUE,FALSE
C06501,DHC-7,TP,% RPM,TRUE,FALSE
C06401,DHC-8*,PW121,% RPM,TRUE,FALSE
C09901,DHC-830*,PW123,% RPM,TRUE,FALSE
M46301,DOMINIE,Viper,% RPM,TRUE,TRUE
M08401,E-2C,T56-A-427,ISHP,TRUE,TRUE
M03501,E-3A,TF33-P-100A,EPR,TRUE,TRUE
M03601,E-4,CF6-50C2,% N1,TRUE,TRUE
M03801,E-8A,TF33-P-102A,EPR,TRUE,TRUE
M03701,EA-6B,J52-P-408,% RPM,TRUE,TRUE
C06301,ELECTRA-188,T56-A-7/501-D13,% RPM,TRUE,FALSE
M04602,F-100,J57-P-21A,% RPM,FALSE,TRUE
M04601,F-100D,J57-P-21A,% RPM,TRUE,TRUE
M04701,F-101B,J57-P-55,% NC,TRUE,TRUE
M04801,F-102,J57-P-23A,% NC,TRUE,TRUE
M04901,F-104D&G,J79-GE-11A/J79-GE-7,% RPM,TRUE,TRUE
M05002,F-105,J75-P-19,% RPM,FALSE,TRUE
M05001,F-105D,J75-P-19W,% NC,TRUE,TRUE
M05101,F-106,J75-P-17,% RPM,TRUE,TRUE
M05206,F-111A,TF30-P-3,% N2,FALSE,TRUE
M05201,F-111A&E,TF30-P-3,% NC,TRUE,TRUE
M05202,F-111D,TF30-P-9,% NC,TRUE,TRUE
M05203,F-111F,TF30-P-100,% NC,TRUE,TRUE
M05301,F-117A,GE,% RPM,TRUE,TRUE
M04201,F-14A,TF30-P-412A/412,% NC,TRUE,TRUE
M04202,F-14B,F110-GE-400,% NC,TRUE,TRUE
M04306,F-15,F100-PW-100,% RPM,FALSE,TRUE
M04301,F-15A,F100-PW-100,% NC,TRUE,TRUE
M04303,F-15E,F100-PW-220,% NC,TRUE,TRUE
M04304,F-15E,F100-PW-229,% NC,TRUE,TRUE
M04407,F-16,F100-PW-100,% N2,FALSE,TRUE
M04401,F-16A,F100-PW-100,% NC,TRUE,TRUE
M04402,F-16C,F100-PW-220,% NC,TRUE,TRUE
M04403,F-16C,F100-PW-229,% NC,TRUE,TRUE
M04404,F-16C,F110-GE-100,% NC,TRUE,TRUE
M04405,F-16C,F110-GE-129,% NC,TRUE,TRUE
M04501,F-18A/C,F404-GE-400&402,% NC,TRUE,TRUE
M04502,F-18E/F,F414-GE-400,% NC,TRUE,TRUE
M08501,F-22,F119-PW-100,% ETR,TRUE,TRUE
C03801,F-28-MK2,RB183,LBS,TRUE,FALSE
C03901,F-28-MK4,RB183,LBS,TRUE,FALSE
M08902,F-35A,F-135-PW-100,% ETR,TRUE,TRUE
M08901,F-35AA,F-135PP,% ETR,TRUE,TRUE
