ac,eng,power,Dist ft.,SEL A-G (dB),ALM A-G (dB),ps_num,retired
A-4C,J52-P-8B,Takeoff (100% NC),3150,103.4,93.2,100,TRUE
A-4C,J52-P-8B,Takeoff (100% NC),4000,100.4,89.7,100,TRUE
A-4C,J52-P-8B,Takeoff (100% NC),5000,97.2,85.9,100,TRUE
A-4C,J52-P-8B,Takeoff (100% NC),6300,93.7,81.7,100,TRUE
A-4C,J52-P-8B,Takeoff (100% NC),8000,89.7,77.1,100,TRUE
A-4C,J52-P-8B,Takeoff (100% NC),10000,85.2,72.1,100,TRUE
A-4C,J52-P-8B,Takeoff (100% NC),12500,80.2,66.4,100,TRUE
A-4C,J52-P-8B,Takeoff (100% NC),16000,74.4,60.1,100,TRUE
A-4C,J52-P-8B,Takeoff (100% NC),20000,67.9,53,100,TRUE
A-4C,J52-P-8B,Takeoff (100% NC),25000,60.9,45.3,100,TRUE
A-4C,J52-P-8B,Cruise (83% NC),200,104.3,104,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),250,102.6,101.6,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),315,100.8,99.2,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),400,98.9,96.7,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),500,96.9,94.2,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),630,94.8,91.5,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),800,92.6,88.7,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),1000,90.3,85.8,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),1250,87.9,82.8,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),1600,85.4,79.7,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),2000,82.7,76.4,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),2500,79.9,73,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),3150,77,69.5,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),4000,73.9,65.7,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),5000,70.6,61.9,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),6300,67.1,57.8,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),8000,63.5,53.5,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),10000,59.6,49,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),12500,55.4,44.3,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),16000,51,39.3,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),20000,46.5,34.1,83,TRUE
A-4C,J52-P-8B,Cruise (83% NC),25000,41.7,28.8,83,TRUE
A-4C,J52-P-8B,Approach (93% NC),200,112.3,110.6,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),250,110.7,108.4,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),315,109.1,106.2,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),400,107.5,104,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),500,105.8,101.7,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),630,104.1,99.4,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),800,102.3,97,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),1000,100.4,94.5,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),1250,98.5,92,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),1600,96.5,89.4,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),2000,94.4,86.7,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),2500,92.2,83.9,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),3150,89.8,80.9,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),4000,87.4,77.9,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),5000,84.8,74.7,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),6300,82.1,71.4,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),8000,79.1,67.8,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),10000,76,64.1,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),12500,72.7,60.2,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),16000,69.1,56,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),20000,65.3,51.6,93,TRUE
A-4C,J52-P-8B,Approach (93% NC),25000,61.3,47,93,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),200,129.3,128.4,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),250,127.7,126.3,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),315,126.1,124.1,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),400,124.5,121.8,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),500,122.8,119.5,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),630,121.1,117.2,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),800,119.3,114.8,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),1000,117.4,112.4,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),1250,115.5,109.8,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),1600,113.5,107.2,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),2000,111.3,104.5,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),2500,109.1,101.6,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),3150,106.7,98.6,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),4000,104.1,95.4,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),5000,101.3,92.1,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),6300,98.3,88.4,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),8000,95,84.5,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),10000,91.3,80.2,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),12500,87.2,75.5,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),16000,82.5,70.3,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),20000,77.3,64.4,100,TRUE
A-5C,J79-GE-8C,Takeoff (100% RPM),25000,71.4,57.9,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),200,133.2,132,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),250,131.6,129.9,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),315,130.1,127.7,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),400,128.5,125.5,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),500,126.8,123.2,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),630,125.1,121,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),800,123.4,118.6,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),1000,121.6,116.3,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),1250,119.8,113.8,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),1600,117.9,111.4,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),2000,116,108.8,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),2500,114,106.2,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),3150,111.9,103.5,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),4000,109.7,100.7,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),5000,107.3,97.8,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),6300,104.9,94.7,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),8000,102.3,91.5,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),10000,99.6,88.2,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),12500,96.6,84.6,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),16000,93.5,80.9,100,TRUE
A-5C,J79-GE-8C,Afterburner (100% RPM),20000,90.1,76.9,100,TRUE
