AV-8B,F402-RR-405,Cruise (89 % RPM),160kts
Distance,SEL,n/a,n/a,n/a,LMAX
(ft),A-G
200,122.68181818181819,n/a,n/a,n/a,118.02727272727273
250,121.08181818181818,n/a,n/a,n/a,115.77272727272727
315,119.38181818181818,n/a,n/a,n/a,113.47272727272727
400,117.58181818181818,n/a,n/a,n/a,111.12727272727274
500,115.78181818181818,n/a,n/a,n/a,108.67272727272727
630,113.88181818181818,n/a,n/a,n/a,106.17272727272727
800,111.88181818181818,n/a,n/a,n/a,103.62727272727274
1000,109.78181818181818,n/a,n/a,n/a,100.92727272727274
1250,107.68181818181819,n/a,n/a,n/a,98.12727272727274
1600,105.38181818181818,n/a,n/a,n/a,95.32727272727273
2000,102.98181818181818,n/a,n/a,n/a,92.32727272727273
2500,100.58181818181818,n/a,n/a,n/a,89.22727272727273
3150,97.98181818181818,n/a,n/a,n/a,86.02727272727273
4000,95.23636363636363,n/a,n/a,n/a,82.72727272727273
5000,92.38181818181818,n/a,n/a,n/a,79.32727272727273
6300,89.43636363636364,n/a,n/a,n/a,75.68181818181819
8000,86.2909090909091,n/a,n/a,n/a,71.93636363636364
10000,82.94545454545455,n/a,n/a,n/a,68.0909090909091
12500,79.4,n/a,n/a,n/a,63.945454545454545
16000,75.7090909090909,n/a,n/a,n/a,59.654545454545456
20000,71.86363636363636,n/a,n/a,n/a,55.163636363636364
25000,67.77272727272727,n/a,n/a,n/a,50.472727272727276
