AV-8B,F402-RR-408,Takeoff (111% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,127,127,15.2,15.8,123.6,123.6,137.6,138.2
250,125.3,125.3,13.4,14.1,121.3,121.3,135.2,135.8
315,123.5,123,11.6,11.2,118.9,118.5,132.8,132.4
400,121.6,120.6,9.6,8.5,116.4,115.5,130.2,129.1
500,119.6,118.1,7.5,6,113.8,112.4,127.5,125.9
630,117.5,115.4,5.2,3.2,111.1,109.1,124.6,122.6
800,115.2,112.6,2.8,0.3,108.2,105.6,121.6,119
1000,112.7,109.5,0,-3.1,105.1,101.9,118.2,115.1
1250,110.2,106.4,-3,-6.7,102,98.2,114.6,110.9
1600,107.6,103.6,-6,-10,98.9,94.8,110.9,107
2000,105,100.8,-9.3,-13.5,95.6,91.4,107,102.9
2500,102.3,98.1,-12.7,-16.9,92.3,88.1,103.1,98.9
3150,99.4,95.4,-16.3,-20.3,88.9,84.8,98.9,94.9
4000,96.5,92.7,-20,-23.9,85.3,81.5,94.7,90.8
5000,93.3,89.6,-23.5,-27.9,81.6,77.8,90.8,86.4
6300,90.1,86.2,-26.7,-32.1,77.7,73.9,87,81.6
8000,86.7,82.4,-30.2,-36.8,73.7,69.4,83.1,76.4
10000,83.1,78,-33.8,-41.8,69.6,64.4,79,71
12500,79.4,72.6,-37.5,-46.9,65.3,58.4,74.7,65.3
16000,75.6,66.7,-41.4,-52.8,60.8,51.9,70.2,58.8
20000,71.5,60.4,-45.7,-59.4,56.2,45.1,65.3,51.6
25000,67.2,54,-50.4,-66.8,51.3,38,60,43.6
