F-35B,F-135-PW-600,83% ETR,160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,125.6,125.6,130.3,130.3,125,125,138.6,138.6
250,124,124,128.7,128.7,122.9,122.9,136.4,136.4
315,122.4,121.4,127,126.1,120.7,119.6,134.1,133.2
400,120.8,118.8,125.3,123.5,118.4,116.4,131.8,130
500,119.1,116.4,123.5,121,116.1,113.4,129.4,127
630,117.3,113.9,121.5,118.4,113.7,110.3,126.9,123.8
800,115.5,111.4,119.4,115.6,111.3,107.2,124.1,120.4
1000,113.6,108.8,117.1,112.7,108.8,104,121.2,116.8
1250,111.7,106.3,114.8,109.7,106.3,100.9,118.3,113.2
1600,109.7,104.1,112.3,106.9,103.7,98.1,115.2,109.9
2000,107.6,101.9,109.6,104.1,101,95.3,112,106.4
2500,105.5,99.7,107.3,101.4,98.3,92.5,109,103.1
3150,103.3,97.6,104.9,98.6,95.5,89.8,106,99.8
4000,101,95.5,102.2,95.7,92.6,87.1,102.9,96.5
5000,98.5,93.1,99.4,92.6,89.5,84.1,99.8,93
6300,95.9,90.6,96.6,89.2,86.3,81,96.6,89.2
8000,93.2,87.6,93.6,85.6,83,77.5,93.2,85.2
10000,90.3,84.3,90.5,82,79.5,73.5,89.7,81.3
12500,87.2,80,87.5,78,75.8,68.6,86.1,76.6
16000,83.9,75.2,84.2,73.3,71.9,63.2,82.3,71.3
20000,80.4,70,80.6,68.3,67.8,57.4,78,65.7
25000,76.6,64.5,76.6,62.9,63.5,51.4,73.4,59.7
