AV-8B,F402-RR-405,Idle (27% RPM)
,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,98.1,97.5,99.2,95.6,98.9,96.8,94.1,94.3,93.7,92.1,90.4,90.1,88.4,90.8,86.4,84.3,84.1,76.4,72.7
250,95.7,95.1,96.8,93.2,96.5,94.4,91.7,91.9,91.3,89.7,88,87.7,86,88.4,84,81.9,81.8,74,70.3
315,93.3,92.6,94.3,90.7,94,91.9,89.2,89.4,88.7,87.2,85.5,85.2,83.4,85.8,81.5,79.3,79.3,71.4,67.8
400,90.7,89.9,91.7,88.1,91.4,89.3,86.5,86.7,86.1,84.5,82.8,82.5,80.7,83.2,78.9,76.6,76.8,68.8,65.2
500,88.1,87.2,88.9,85.4,88.7,86.5,83.7,83.9,83.3,81.7,80,79.8,78,80.4,76.2,73.8,74.2,66,62.5
630,85.3,84.2,86,82.6,85.8,83.5,80.8,81,80.3,78.7,77.1,76.9,75.1,77.4,73.3,70.9,71.4,63.2,59.8
800,82.3,81.1,82.8,79.5,82.6,80.3,77.6,77.8,77.1,75.5,74.1,73.9,72,74.3,70.3,67.8,68.6,60.2,56.9
1000,79.2,77.7,79.3,76.3,79.3,76.9,74.2,74.4,73.6,72,70.8,70.6,68.8,71,67.1,64.5,65.7,57,53.9
1250,75.9,74,75.6,72.9,75.6,73.1,70.5,70.7,69.8,68.3,67.4,67.2,65.5,67.6,63.8,61,62.7,53.7,50.8
1600,72.5,70.1,71.5,69.4,71.7,69,66.5,66.7,65.7,64.2,63.8,63.6,62.2,64,60.4,57.4,59.7,50.3,47.7
2000,69,66,67,65.7,67.6,64.4,62.4,62.5,61.4,59.9,60.1,60,58.8,60.3,56.9,53.8,56.6,46.9,44.5
2500,65.5,61.7,62.4,61.9,63.4,59.6,58.1,58.2,56.9,55.5,56.4,56.4,55.6,56.6,53.4,50.3,53.4,43.4,41.3
3150,61.9,57.6,57.8,58.1,59.3,54.8,54,54,52.5,51.3,52.8,52.9,52.4,53.1,50,46.9,50.1,40,38
4000,58.2,53.5,53.3,54.2,55.2,50.1,50,50,48.4,47.5,49.3,49.4,49.3,49.7,46.7,43.7,46.6,36.6,34.7
5000,54.3,49.5,49.1,50.2,51.1,45.7,46.1,46.2,44.6,44,45.6,45.9,46.2,46.4,43.3,40.5,42.8,33,31.3
6300,50.1,45.5,44.8,45.8,46.7,41.4,42.3,42.4,41,40.5,41.9,42.3,43,43,39.9,37.4,38.8,29.3,27.7
8000,45.4,41.2,40.3,41.1,42,37.2,38.4,38.4,37.2,37,38,38.5,39.7,39.6,36.5,34.2,34.5,25.4,24.1
10000,40.3,36.8,35.5,36,36.7,33.1,34.4,34.4,33.4,33.3,33.9,34.5,36.3,36.1,33,31.1,29.9,21.5,20.6
12500,35,32.3,30.7,30.7,31.3,29.1,30.3,30.3,29.6,29.6,29.7,30.4,32.9,32.6,29.6,28,25.3,17.6,17.4
16000,29.7,27.9,26.1,25.5,26,25.3,26.3,26.4,25.7,25.8,25.5,26.2,29.3,29,26.2,25,21,14,14.4
20000,25,23.7,22,21.1,21.5,21.7,22.4,22.6,21.9,21.9,21.4,22,25.5,25.4,22.7,21.9,17.1,10.6,11.6
25000,20.7,19.7,18.3,17.2,17.8,18.2,18.6,18.9,18.2,18.1,17.5,18,21.7,21.6,19.3,18.7,13.5,7.2,8.9
